Entity,Code,Day,Weekly deaths
United Kingdom,GBR,2020-06-12,1145
United Kingdom,GBR,2020-06-13,1083
United Kingdom,GBR,2020-06-14,1034
United Kingdom,GBR,2020-06-15,984
United Kingdom,GBR,2020-06-16,957
United Kingdom,GBR,2020-06-17,903
United Kingdom,GBR,2020-06-18,886
United Kingdom,GBR,2020-06-19,825
United Kingdom,GBR,2020-06-20,793
United Kingdom,GBR,2020-06-21,746
United Kingdom,GBR,2020-06-22,732
United Kingdom,GBR,2020-06-23,676
United Kingdom,GBR,2020-06-24,652
United Kingdom,GBR,2020-06-25,629
United Kingdom,GBR,2020-06-26,625
United Kingdom,GBR,2020-06-27,644
United Kingdom,GBR,2020-06-28,635
United Kingdom,GBR,2020-06-29,621
United Kingdom,GBR,2020-06-30,611
United Kingdom,GBR,2020-07-01,597
United Kingdom,GBR,2020-07-02,581
United Kingdom,GBR,2020-07-03,534
United Kingdom,GBR,2020-07-04,487
United Kingdom,GBR,2020-07-05,456
United Kingdom,GBR,2020-07-06,435
United Kingdom,GBR,2020-07-07,417
United Kingdom,GBR,2020-07-08,402
United Kingdom,GBR,2020-07-09,364
United Kingdom,GBR,2020-07-10,357
United Kingdom,GBR,2020-07-11,357
United Kingdom,GBR,2020-07-12,353
United Kingdom,GBR,2020-07-13,339
United Kingdom,GBR,2020-07-14,319
United Kingdom,GBR,2020-07-15,310
United Kingdom,GBR,2020-07-16,309
United Kingdom,GBR,2020-07-17,303
United Kingdom,GBR,2020-07-18,263
United Kingdom,GBR,2020-07-19,253
United Kingdom,GBR,2020-07-20,246
United Kingdom,GBR,2020-07-21,238
United Kingdom,GBR,2020-07-22,224
United Kingdom,GBR,2020-07-23,213
United Kingdom,GBR,2020-07-24,206
United Kingdom,GBR,2020-07-25,221
United Kingdom,GBR,2020-07-26,206
United Kingdom,GBR,2020-07-27,198
United Kingdom,GBR,2020-07-28,206
United Kingdom,GBR,2020-07-29,193
United Kingdom,GBR,2020-07-30,188
United Kingdom,GBR,2020-07-31,182
United Kingdom,GBR,2020-08-01,163
United Kingdom,GBR,2020-08-02,175
United Kingdom,GBR,2020-08-03,172
United Kingdom,GBR,2020-08-04,157
United Kingdom,GBR,2020-08-05,162
United Kingdom,GBR,2020-08-06,163
United Kingdom,GBR,2020-08-07,148
United Kingdom,GBR,2020-08-08,152
United Kingdom,GBR,2020-08-09,145
United Kingdom,GBR,2020-08-10,147
United Kingdom,GBR,2020-08-11,149
United Kingdom,GBR,2020-08-12,151
United Kingdom,GBR,2020-08-13,144
United Kingdom,GBR,2020-08-14,155
United Kingdom,GBR,2020-08-15,157
United Kingdom,GBR,2020-08-16,151
United Kingdom,GBR,2020-08-17,152
United Kingdom,GBR,2020-08-18,148
United Kingdom,GBR,2020-08-19,144
United Kingdom,GBR,2020-08-20,139
United Kingdom,GBR,2020-08-21,128
United Kingdom,GBR,2020-08-22,121
United Kingdom,GBR,2020-08-23,113
United Kingdom,GBR,2020-08-24,102
United Kingdom,GBR,2020-08-25,104
United Kingdom,GBR,2020-08-26,92
United Kingdom,GBR,2020-08-27,99
United Kingdom,GBR,2020-08-28,102
United Kingdom,GBR,2020-08-29,98
United Kingdom,GBR,2020-08-30,100
United Kingdom,GBR,2020-08-31,96
United Kingdom,GBR,2020-09-01,90
United Kingdom,GBR,2020-09-02,99
United Kingdom,GBR,2020-09-03,88
United Kingdom,GBR,2020-09-04,87
United Kingdom,GBR,2020-09-05,84
United Kingdom,GBR,2020-09-06,87
United Kingdom,GBR,2020-09-07,93
United Kingdom,GBR,2020-09-08,95
United Kingdom,GBR,2020-09-09,101
United Kingdom,GBR,2020-09-10,106
United Kingdom,GBR,2020-09-11,105
United Kingdom,GBR,2020-09-12,112
United Kingdom,GBR,2020-09-13,116
United Kingdom,GBR,2020-09-14,125
United Kingdom,GBR,2020-09-15,132
United Kingdom,GBR,2020-09-16,129
United Kingdom,GBR,2020-09-17,139
United Kingdom,GBR,2020-09-18,156
United Kingdom,GBR,2020-09-19,178
United Kingdom,GBR,2020-09-20,189
United Kingdom,GBR,2020-09-21,191
United Kingdom,GBR,2020-09-22,211
United Kingdom,GBR,2020-09-23,220
United Kingdom,GBR,2020-09-24,233
United Kingdom,GBR,2020-09-25,260
United Kingdom,GBR,2020-09-26,256
United Kingdom,GBR,2020-09-27,266
United Kingdom,GBR,2020-09-28,288
United Kingdom,GBR,2020-09-29,304
United Kingdom,GBR,2020-09-30,329
United Kingdom,GBR,2020-10-01,338
United Kingdom,GBR,2020-10-02,341
United Kingdom,GBR,2020-10-03,378
United Kingdom,GBR,2020-10-04,412
United Kingdom,GBR,2020-10-05,435
United Kingdom,GBR,2020-10-06,442
United Kingdom,GBR,2020-10-07,455
United Kingdom,GBR,2020-10-08,491
United Kingdom,GBR,2020-10-09,540
United Kingdom,GBR,2020-10-10,566
United Kingdom,GBR,2020-10-11,588
United Kingdom,GBR,2020-10-12,625
United Kingdom,GBR,2020-10-13,690
United Kingdom,GBR,2020-10-14,742
United Kingdom,GBR,2020-10-15,777
United Kingdom,GBR,2020-10-16,789
United Kingdom,GBR,2020-10-17,844
United Kingdom,GBR,2020-10-18,910
United Kingdom,GBR,2020-10-19,989
United Kingdom,GBR,2020-10-20,1028
United Kingdom,GBR,2020-10-21,1101
United Kingdom,GBR,2020-10-22,1192
United Kingdom,GBR,2020-10-23,1302
United Kingdom,GBR,2020-10-24,1392
United Kingdom,GBR,2020-10-25,1455
United Kingdom,GBR,2020-10-26,1488
United Kingdom,GBR,2020-10-27,1576
United Kingdom,GBR,2020-10-28,1665
United Kingdom,GBR,2020-10-29,1740
United Kingdom,GBR,2020-10-30,1789
United Kingdom,GBR,2020-10-31,1867
United Kingdom,GBR,2020-11-01,1994
United Kingdom,GBR,2020-11-02,2115
United Kingdom,GBR,2020-11-03,2219
United Kingdom,GBR,2020-11-04,2275
United Kingdom,GBR,2020-11-05,2367
United Kingdom,GBR,2020-11-06,2426
United Kingdom,GBR,2020-11-07,2493
United Kingdom,GBR,2020-11-08,2558
United Kingdom,GBR,2020-11-09,2635
United Kingdom,GBR,2020-11-10,2708
United Kingdom,GBR,2020-11-11,2861
United Kingdom,GBR,2020-11-12,2894
United Kingdom,GBR,2020-11-13,2963
United Kingdom,GBR,2020-11-14,3006
United Kingdom,GBR,2020-11-15,3039
United Kingdom,GBR,2020-11-16,3081
United Kingdom,GBR,2020-11-17,3105
United Kingdom,GBR,2020-11-18,3045
United Kingdom,GBR,2020-11-19,3101
United Kingdom,GBR,2020-11-20,3206
United Kingdom,GBR,2020-11-21,3261
United Kingdom,GBR,2020-11-22,3296
United Kingdom,GBR,2020-11-23,3335
United Kingdom,GBR,2020-11-24,3391
United Kingdom,GBR,2020-11-25,3467
United Kingdom,GBR,2020-11-26,3497
United Kingdom,GBR,2020-11-27,3482
United Kingdom,GBR,2020-11-28,3458
United Kingdom,GBR,2020-11-29,3432
United Kingdom,GBR,2020-11-30,3418
United Kingdom,GBR,2020-12-01,3407
United Kingdom,GBR,2020-12-02,3365
United Kingdom,GBR,2020-12-03,3291
United Kingdom,GBR,2020-12-04,3206
United Kingdom,GBR,2020-12-05,3248
United Kingdom,GBR,2020-12-06,3287
United Kingdom,GBR,2020-12-07,3210
United Kingdom,GBR,2020-12-08,3145
United Kingdom,GBR,2020-12-09,3146
United Kingdom,GBR,2020-12-10,3196
United Kingdom,GBR,2020-12-11,3230
United Kingdom,GBR,2020-12-12,3223
United Kingdom,GBR,2020-12-13,3216
United Kingdom,GBR,2020-12-14,3297
United Kingdom,GBR,2020-12-15,3341
United Kingdom,GBR,2020-12-16,3381
United Kingdom,GBR,2020-12-17,3415
